%t0,t1,rS,currentS,errorS,rR,currentR,errorR,rT,currentT,errorT,accX,accY,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,xPos,yPos
0,0.015,2.3503041131364952,-1.1396686796012647,3.4899727927377597,0,0.05978228897020832,-0.05978228897020832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.03,2.3503041131364952,-1.1396686796012647,3.4899727927377597,0,0.05978228897020832,-0.05978228897020832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.03,0.045,2.3503041131364952,-1.1396397822131488,3.489943895349644,0,0.05979951167809877,-0.05979951167809877,-3.6769113357452747e-06,0.003251259864236792,-0.0032549367755725376,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,2.539638667694651e-05,2.206137463430901e-05
0.045,0.06,2.3503041131364952,-1.139556595207907,3.489860708344402,0,0.05985527319368028,-0.05985527319368028,-1.5276005155909273e-05,0.0026593585931860564,-0.0026746345983419658,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,9.741176971835444e-05,9.165454287988857e-05
0.06,0.075,2.3503041131364952,-1.139419161653149,3.489723274789644,0,0.05994964557402582,-0.05994964557402582,-3.480838809025805e-05,0.005746667785080118,-0.005781476173170375,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.00021599101797997256,0.00020884281032671677
0.075,0.09,2.3503041131364952,-1.1392275348202439,3.4895316479567393,0,0.06008269211667078,-0.06008269211667078,-6.228379845344643e-05,0.005154766514029381,-0.005217050312482828,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.00038107050636529795,0.00037367905668526436
0.09,0.105,2.3503041131364952,-1.1389817579564783,3.4892858710929735,0,0.06025448477099263,-0.06025448477099263,-9.771405879424522e-05,0.008242075705923443,-0.008339789764717689,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.000592594945928625,0.0005862264497738544
0.105,0.12,2.3503041131364952,-1.1386818844910085,3.4889859976275037,0,0.06046508670139594,-0.06046508670139594,-0.00014110961976043367,0.0076501744348727065,-0.00779128405463314,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.000850500579815238,0.00084653771036791
0.12,0.135,2.3503041131364952,-1.1383279578505296,3.488632070987025,0,0.060714569749114655,-0.060714569749114655,-0.0001924830200259845,0.01073748362676678,-0.010929966646792764,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.0011547319616222649,0.00115467586812075
0.135,0.15000000000000002,2.3503041131364952,-1.1379200316216525,3.4882241447581475,0,0.06100299694502931,-0.06100299694502931,-0.00025184542278049616,0.010145582355716044,-0.01039742777849654,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.0015052252031337943,0.0015106934845444545
0.15000000000000002,0.16500000000000004,2.3503041131364952,-1.13745814941021,3.4877622625467053,0,0.06133044002178298,-0.06133044002178298,-0.0003192100832076003,0.01323289154761011,-0.013552101630817711,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.001901924700835055,0.001914653450734848
0.16500000000000004,0.18000000000000005,2.3503041131364952,-1.1369423649599328,3.487246478096428,0,0.061696961876339634,-0.061696961876339634,-0.0003945888774236201,0.012640990276559374,-0.013035579153982993,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.002344766435546776,0.0023666081686133642
0.18000000000000005,0.19500000000000006,2.3503041131364952,-1.1363727220555215,3.486676835192017,0,0.06210263413230477,-0.06210263413230477,-0.0004779957776802377,0.01572829946845344,-0.01620629524613368,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.002833694646988534,0.002866620390326708
0.19500000000000006,0.21000000000000008,2.3503041131364952,-1.1357492745974922,3.486053387733987,0,0.06254751955233417,-0.06254751955233417,-0.000569443373577241,0.015136398197402702,-0.015705841570979942,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.003368645185416349,0.003414742357879356
0.21000000000000008,0.2250000000000001,2.3503041131364952,-1.1350720665491378,3.485376179685633,0,0.06303168965054962,-0.06303168965054962,-0.0006689463551622769,0.01822370738929677,-0.01889265374445905,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.003949562134131367,0.004011036684078132
0.2250000000000001,0.2400000000000001,2.3503041131364952,-1.134341151967427,3.4846452651039224,0,0.06355520705490803,-0.06355520705490803,-0.0007765180262427071,0.017631806118246034,-0.01840832414448874,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.004576381213224364,0.004655555450685242
0.2400000000000001,0.2550000000000001,2.3503041131364952,-1.1335565749939724,3.4838606881304677,0,0.06411814316960229,-0.06411814316960229,-0.0008921737955550732,0.020719115310140097,-0.02161128910569517,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.005249046349926254,0.005348361130777735
0.2550000000000001,0.27000000000000013,2.3503041131364952,-1.132718389841855,3.48302250297835,0,0.06472056048750005,-0.06472056048750005,-0.0010159276820012229,0.02012721403908936,-0.021143141721090584,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.005967493134562841,0.006089505645551233
0.27000000000000013,0.28500000000000014,2.3503041131364952,-1.1318266408307325,3.482130753967228,0,0.06536253030242081,-0.06536253030242081,-0.0011477958140599237,0.023214523230983424,-0.024362319045043348,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.0067316653386439735,0.006879051327963984
0.28500000000000014,0.30000000000000016,2.3503041131364952,-1.130881382329463,3.481185495465958,0,0.06604411497175408,-0.06604411497175408,-0.0012877929267725466,0.022622621959932688,-0.023910414886705235,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.007541498423131571,0.007717049938321705
0.30000000000000016,0.31500000000000017,2.3503041131364952,-1.129882658835474,3.4801867719719692,0,0.06676538567850185,-0.06676538567850185,-0.001435935869569088,0.025709931151826754,-0.02714586702139584,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.008396936004164553,0.008603563669075697
0.31500000000000017,0.3300000000000002,2.3503041131364952,-1.1288305248730595,3.4791346380095547,0,0.06752640464418708,-0.06752640464418708,-0.0015922400948288065,0.025118029880776018,-0.026710269975604824,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.00929791341374284,0.009538644119319463
0.3300000000000002,0.3450000000000002,2.3503041131364952,-1.127725025117139,3.478029138253634,0,0.06832724294055101,-0.06832724294055101,-0.0017567231742927432,0.02820533907267008,-0.029962062246962823,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.01024437411298553,0.010522353340610075
0.3450000000000002,0.3600000000000002,2.3503041131364952,-1.126566214247106,3.476870327383601,0,0.06916796265286274,-0.06916796265286274,-0.0019294012790247984,0.027613437801619345,-0.029542839080644142,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.011236253305333236,0.011554742770507508
0.3600000000000002,0.3750000000000002,2.3503041131364952,-1.1253541371150928,3.475658250251588,0,0.07004863474116016,-0.07004863474116016,-0.002110292704582688,0.030700746993513408,-0.032811039698096095,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.012273494297237307,0.012635874319288212
0.3750000000000002,0.39000000000000024,2.3503041131364952,-1.124088848555251,3.474392961691746,0,0.07096932115407178,-0.07096932115407178,-0.002299414342205021,0.03010884572246267,-0.032408260064667696,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.01335603216398254,0.013765799262658331
0.39000000000000024,0.40500000000000025,2.3503041131364952,-1.1227703935966467,3.473074506733142,0,0.0719300927394903,-0.0719300927394903,-0.002496785212912479,0.03319615491435674,-0.03569294012726922,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.014483810057705564,0.014944579369228168
0.40500000000000025,0.42000000000000026,2.3503041131364952,-1.121398827227848,3.4717029403643433,0,0.07293101130901801,-0.07293101130901801,-0.002702422929746523,0.032604253643306005,-0.03530667657305253,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,1.0,0.0,0.015656762925939652,0.01617226575253074
0.42000000000000026,0.4350000000000003,2.3503041131364952,-1.1199741946545756,3.470278307791071,0,0.07397214759796115,-0.07397214759796115,-0.002916347240972435,0.03569156283520007,-0.03860791007617251,0.22638204074596588,0.19536611489065892,1.0,0.0,1.0,0.0,0.0,1.0,0.016874833766860713,0.017448920039125574
0.4350000000000003,0.4500000000000003,2.3503041131364952,-1.1184965510194707,3.4688006641559657,0,0.07505356328051083,-0.07505356328051083,-0.003138576483195336,0.035099661564149336,-0.03823823804734467,0.18924684035692793,0.2259012484293238,1.0,0.0,0.0,1.0,1.0,0.0,0.018137957400655578,0.01877459318005427
0.4500000000000003,0.4650000000000003,2.3503041131364952,-1.1169708988151463,3.4672750119516413,0,0.07614005157685684,-0.07614005157685684,-0.0033631796678990668,0.03813376724183393,-0.04149694690973299,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.019447435987811772,0.020113748621530498
0.4650000000000003,0.4800000000000003,2.3503041131364952,-1.1154022715804304,3.465706384716926,0,0.07719639905903831,-0.07719639905903831,-0.0035842190068133047,0.03750639696131021,-0.041090615968123516,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.020804542307510377,0.02143083777631026
0.4800000000000003,0.49500000000000033,2.3503041131364952,-1.1137906280324896,3.464094741168985,0,0.0782226623183828,-0.0782226623183828,-0.0038017079093776406,0.040558237143731295,-0.04435994505310893,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.022209306984614766,0.022725923644142373
0.49500000000000033,0.5100000000000003,2.3503041131364952,-1.1121359365050367,3.4624400496415317,0,0.079218889043713,-0.079218889043713,-0.00401565787778723,0.03993086686320758,-0.04394652474099481,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.023661752753277962,0.02399905876202232
0.5100000000000003,0.5250000000000004,2.3503041131364952,-1.1104381558525642,3.4607422689890592,0,0.08018513592627909,-0.08018513592627909,-0.0042260820296801055,0.04298270704562866,-0.04720878907530877,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.025161910085532486,0.02525030620376275
0.5250000000000004,0.5400000000000004,2.3503041131364952,-1.1086972545244969,3.459001367660992,0,0.08112145073153738,-0.08112145073153738,-0.004432991571964126,0.042355336765104945,-0.04678832833706907,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.026709801588090314,0.026479718561322956
0.5400000000000004,0.5550000000000004,2.3503041131364952,-1.1069131915128947,3.45721730464939,0,0.08202789025032747,-0.08202789025032747,-0.004636399332594369,0.04540717694752603,-0.0500435762801204,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.028305457579973995,0.027687358982208664
0.5550000000000004,0.5700000000000004,2.3503041131364952,-1.105085935383081,3.4553900485195763,0,0.08290450232445862,-0.08290450232445862,-0.004836316225231643,0.04477980666700231,-0.04961612289223395,0.18924684035692793,-0.09074431881671924,1.0,0.0,1.0,0.0,1.0,0.0,0.02994890054032156,0.028873280113033837
0.5700000000000004,0.5850000000000004,2.3503041131364952,-1.1032108304981434,3.4535149436346386,0,0.08378666765993611,-0.08378666765993611,-0.0050387151699175054,0.04788485036363287,-0.052923565533550376,0.22638204074596588,0.19536611489065892,1.0,0.0,0.0,1.0,0.0,1.0,0.03163845616289594,0.030073128356297447
0.5850000000000004,0.6000000000000004,2.3503041131364952,-1.1012878450821724,3.4515919582186676,0,0.08467443487622338,-0.08467443487622338,-0.00524361191827237,0.04723974557837266,-0.05248335749664503,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.033374147125173004,0.031286957184354085
0.6000000000000004,0.6150000000000004,2.3503041131364952,-1.099321552574997,3.4496256657114923,0,0.08553253798088492,-0.08553253798088492,-0.005445060415372629,0.05029158576079375,-0.055736646176166374,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.03515770834962413,0.03247924763581211
0.6150000000000004,0.6300000000000004,2.3503041131364952,-1.097311921775994,3.447616034912489,0,0.0863610249686986,-0.0863610249686986,-0.005643071292886388,0.04966421548027003,-0.05530728677315642,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.03698916205797266,0.03365005246645434
0.6300000000000004,0.6450000000000005,2.3503041131364952,-1.0952589120933918,3.445563025229887,0,0.08715995292870649,-0.08715995292870649,-0.005837656821380188,0.052716055662691115,-0.058553712484071305,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.038868538106897964,0.03479943504369593
0.6450000000000005,0.6600000000000005,2.3503041131364952,-1.0931624924430206,3.443466605579516,0,0.08792936993119034,-0.08792936993119034,-0.006028827346965794,0.0520886853821674,-0.058117512729133194,0.18924684035692793,-0.09074431881671924,1.0,0.0,1.0,0.0,1.0,0.0,0.04079585859015338,0.035927448177040515
0.6600000000000005,0.6750000000000005,2.3503041131364952,-1.091018265903305,3.4413223790398,0,0.08870468976432849,-0.08870468976432849,-0.006222563436350746,0.05519372907879796,-0.061416292515148706,0.22638204074596588,0.19536611489065892,1.0,0.0,0.0,1.0,0.0,1.0,0.04276918871330923,0.037069725079688816
0.6750000000000005,0.6900000000000005,2.3503041131364952,-1.0888262010545353,3.4391303141910305,0,0.0894859612785301,-0.0894859612785301,-0.00641888112823412,0.05454862429353775,-0.060967505421771866,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.04478855076241619,0.038226319388312634
0.6900000000000005,0.7050000000000005,2.3503041131364952,-1.0865906134618186,3.4368947265983136,0,0.0902378859968856,-0.0902378859968856,-0.006611825916630598,0.05760046447595883,-0.06421229039258942,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.046855939215075915,0.039361725770447414
0.7050000000000005,0.7200000000000005,2.3503041131364952,-1.0843114722761493,3.4346155854126446,0,0.0909605121409304,-0.0909605121409304,-0.006801407885805113,0.056973094195435114,-0.06377450208124023,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.04897137590683601,0.040475997142881324
0.7200000000000005,0.7350000000000005,2.3503041131364952,-1.081988737324094,3.4322928504605894,0,0.09165389709485944,-0.09165389709485944,-0.006987638776909603,0.0600249343778562,-0.0670125731547658,0.22638204074596588,-0.12127945235538412,1.0,0.0,0.0,1.0,0.0,1.0,0.051134890230437754,0.04156919708955389
0.7350000000000005,0.7500000000000006,2.3503041131364952,-1.0796223778736491,3.4299264910101446,0,0.09231808915485888,-0.09231808915485888,-0.007170528395893111,0.05939756409733248,-0.0665680924932256,0.18924684035692793,-0.09074431881671924,1.0,0.0,1.0,0.0,1.0,0.0,0.05334650389306955,0.042641378580037324
0.7500000000000006,0.7650000000000006,2.3503041131364952,-1.077208255953459,3.4275123690899543,0,0.09298853329949475,-0.09298853329949475,-0.007356066311267407,0.06250260779396304,-0.06985867410523044,0.22638204074596588,0.19536611489065892,1.0,0.0,0.0,1.0,0.0,1.0,0.05560402171546481,0.04372815973472677
0.7650000000000006,0.7800000000000006,2.3503041131364952,-1.0747463405016906,3.425050453638186,0,0.09366527860751199,-0.09366527860751199,-0.007544268888774126,0.061857503008702824,-0.06940177189747695,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,1.0,0.0,0.05790746559105851,0.04482959435174599
